Corporate;Plant;Building;User Dept;User WoC;Eng WoC;System;Name;Field's Name;Soon to be deleted column;Machine ID;Assets ID
Nutrifood;Ciawi;A1;PRA;Fillpack;Utility;Air Handling;Air Conditioner;Air Conditioner ACD1001;AC Serah Terima Baku A /2SD;NF1-A1-PRA-AHL-ACD1001;
Nutrifood;Ciawi;A1;PRA;Fillpack;Utility;Air Handling;Air Conditioner;Air Conditioner ACD1002;AC Mixing Lindor 1 /2SW;NF1-A1-PRA-AHL-ACD1002;
Nutrifood;Ciawi;A1;PRA;Fillpack;Utility;Air Handling;Air Conditioner;Air Conditioner ACD1003;AC Mixing Lindor 2 /2SW;NF1-A1-PRA-AHL-ACD1003;
Nutrifood;Ciawi;A1;PRA;Fillpack;Utility;Air Handling;Air Conditioner;Air Conditioner ACD1004;AC Filling 5 line /2SW1SD;NF1-A1-PRA-AHL-ACD1004;
Nutrifood;Ciawi;A1;PRA;Fillpack;Utility;Air Handling;Air Conditioner;Air Conditioner ACD1005;AC Filling 9 line /2SD;NF1-A1-PRA-AHL-ACD1005;
Nutrifood;Ciawi;A1;PRA;Fillpack;Utility;Air Handling;Air Conditioner;Air Conditioner ACD1006;AC Filling Toyo /1SD;NF1-A1-PRA-AHL-ACD1006;
Nutrifood;Ciawi;A1;PRA;Fillpack;Utility;Air Handling;Air Conditioner;Air Conditioner ACD1007;AC Penyelia Packing;NF1-A1-PRA-AHL-ACD1007;
Nutrifood;Ciawi;A1;PRA;Fillpack;Utility;Air Handling;Air Conditioner;Air Conditioner ACD1008;AC Penyelia MixFill;NF1-A1-PRA-AHL-ACD1008;
Nutrifood;Ciawi;A1;ALL;Office;Utility;Air Handling;Air Conditioner;Air Conditioner ACD1009;AC Tamu WRP;NF1-A1-ALL-AHL-ACD1009;
Nutrifood;Ciawi;A1;ALL;Office;Utility;Air Handling;Air Conditioner;Air Conditioner ACD1010;AC Tamu L-Men / 2SW;NF1-A1-ALL-AHL-ACD1010;
Nutrifood;Ciawi;A1;ALL;Office;Utility;Air Handling;Air Conditioner;Air Conditioner ACD1011;AC Tamu Nutrisari;NF1-A1-ALL-AHL-ACD1011;
Nutrifood;Ciawi;A1;ALL;Office;Utility;Air Handling;Air Conditioner;Air Conditioner ACD1012;AC Lobby;NF1-A1-ALL-AHL-ACD1012;
Nutrifood;Ciawi;A1;ALL;Office;Utility;Air Handling;Air Conditioner;Air Conditioner ACD1013;AC Pantry;NF1-A1-ALL-AHL-ACD1013;
Nutrifood;Ciawi;A1;ALL;Office;Utility;Air Handling;Air Conditioner;Air Conditioner ACD1014;AC Koperasi;NF1-A1-ALL-AHL-ACD1014;
Nutrifood;Ciawi;A1;PRA;Fillpack;Utility;Air handling;Air Cooler;Air Cooler ACL1001;Erba Cooler Packing A;NF1-A1-PRA-AHL-ACL1001;
Nutrifood;Ciawi;A1;PRA;Fillpack;Utility;Air handling;Air Cooler;Air Cooler ACL1002;Erba Cooler Packing B;NF1-A1-PRA-AHL-ACL1002;
Nutrifood;Ciawi;A1;PRA;Fillpack;Utility;Air Handling;Air Shower;Air Shower ASW1001;Air Shower - 1 (Orang);NF1-A1-PRA-AHL-ASW1001;U302008EB003
Nutrifood;Ciawi;A1;PRA;Fillpack;Utility;Air Handling;Air Shower;Air Shower ASW1002;Air Shower - 2 (Persiapan);NF1-A1-PRA-AHL-ASW1002;U302008EB002
Nutrifood;Ciawi;A1;PRA;Fillpack;Utility;Material handling;Bin Tipper;Bin Tipper BTP1001;Bin Tipper;NF1-A1-PRA-MHL-BTP1001;U302008EB001
Nutrifood;Ciawi;A1;PRA;Fillpack;Fillpack A;Packing;Carton sealer;Carton sealer CSL1001;Bestpack 01 (36);NF1-A1-PRA-PKG-CSL1001;
Nutrifood;Ciawi;A1;PRA;Fillpack;Fillpack A;Packing;Carton sealer;Carton sealer CSL1002;Bestpack 11 (37);NF1-A1-PRA-PKG-CSL1002;
Nutrifood;Ciawi;A1;PRA;Fillpack;Fillpack A;Packing;Carton sealer;Carton sealer CSL1003;Bestpack 10 (38);NF1-A1-PRA-PKG-CSL1003;
Nutrifood;Ciawi;A1;PRA;Fillpack;Fillpack A;Packing;Carton sealer;Carton sealer CSL1004;Bestpack 02 (39);NF1-A1-PRA-PKG-CSL1004;
Nutrifood;Ciawi;A1;PRA;Fillpack;Fillpack A;Packing;Carton sealer;Carton sealer CSL1005;Bestpack 05 (40);NF1-A1-PRA-PKG-CSL1005;
Nutrifood;Ciawi;A1;PRA;Fillpack;Fillpack A;Packing;Carton sealer;Carton sealer CSL1006;Bestpack 13 (41);NF1-A1-PRA-PKG-CSL1006;
Nutrifood;Ciawi;A1;PRA;Fillpack;Fillpack A;Packing;Carton sealer;Carton sealer CSL1007;Bestpack 12 (42);NF1-A1-PRA-PKG-CSL1007;
Nutrifood;Ciawi;A1;PRA;Fillpack;Fillpack A;Packing;Carton sealer;Carton sealer CSL1027;;NF1-A1-PRA-PKG-CSL1027;
Nutrifood;Ciawi;A1;PRA;Fillpack;Fillpack A;Packing;Cartoning;Cartoning CRT1001;Cartoning - AF (36);NF1-A1-PRA-PKG-CRT1001;
Nutrifood;Ciawi;A1;PRA;Fillpack;Fillpack A;Packing;Cartoning;Cartoning CRT1002;Cartoning - AI (37);NF1-A1-PRA-PKG-CRT1002;
Nutrifood;Ciawi;A1;PRA;Fillpack;Fillpack A;Packing;Cartoning;Cartoning CRT1003;Cartoning - AK (38);NF1-A1-PRA-PKG-CRT1003;
Nutrifood;Ciawi;A1;PRA;Fillpack;Fillpack A;Packing;Cartoning;Cartoning CRT1004;Cartoning - AM (39);NF1-A1-PRA-PKG-CRT1004;
Nutrifood;Ciawi;A1;PRA;Fillpack;Fillpack A;Packing;Cartoning;Cartoning CRT1005;Cartoning - AN (40);NF1-A1-PRA-PKG-CRT1005;
Nutrifood;Ciawi;A1;PRA;Fillpack;Fillpack A;Packing;Cartoning;Cartoning CRT1006;Cartoning - AB (41);NF1-A1-PRA-PKG-CRT1006;
Nutrifood;Ciawi;A1;PRA;Fillpack;Fillpack A;Packing;Cartoning;Cartoning CRT1007;Cartoning - AE (42);NF1-A1-PRA-PKG-CRT1007;
Nutrifood;Ciawi;A1;PRA;Fillpack;Fillpack A;Packing;Continuous Sealer;Continuous Sealer TSL1001;;NF1-A1-PRA-PKG-TSL1001;
Nutrifood;Ciawi;A1;PRA;Fillpack;Fillpack A;Packing;Continuous Sealer;Continuous Sealer TSL1002;;NF1-A1-PRA-PKG-TSL1002;
Nutrifood;Ciawi;A1;PRA;Fillpack;Fillpack A;Packing;Continuous Sealer;Continuous Sealer TSL1003;;NF1-A1-PRA-PKG-TSL1003;
